Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#25895|open|bug, CodeGen, Mgmt, customer-reported, needs-team-attention|[resources/armresources] Fake servers can send messages to closed channel|### Bug Report  <!-- Thank you for opening a bug report. For faster processing, 
#25758|open|bug, customer-reported, Azure.Identity|keyvault: Providing a subscription generates a tenant, conflicts with CLI authen|### Bug Report  <!-- Thank you for opening a bug report. For faster processing, 
#25356|closed|bug, Event Hubs, Service Attention, Client, customer-reporte|Event Hub producer context timeout when publishing event|### Bug Report  <!-- Thank you for opening a bug report. For faster processing, 
#25036|closed|bug, Mgmt|arm.ParseResourceType incorrectly parses resource type for nested CognitiveServi|### Problem The `arm.ParseResourceType` function is incorrectly parsing the reso
#24869|closed|bug, Azure.Core|azcore/arm.ResourceID.String() triggers race detector|### Bug Report  - import path of package in question: `github.com/Azure/azure-sd
#24641|closed|bug, Storage, Client, customer-reported, needs-team-attentio|azdatalake directory client Panics when authentication fails|### Bug Report  - package: https://pkg.go.dev/github.com/Azure/azure-sdk-for-go/
#24566|open|bug, Storage, Client, customer-reported, needs-team-attentio|blob.Client.DownloadStream does not return error on unmet access conditions|### Bug Report  <!-- Thank you for opening a bug report. For faster processing, 
#24562|open|bug, Storage, customer-reported, needs-team-attention, Copil|Escaping failure on blob DELETE|### Bug Report  go.mod has:  ``` github.com/Azure/azure-sdk-for-go/sdk/azcore v1
#24492|open|bug, Service Attention, Mgmt, customer-reported, Policy|[armpolicy] filter format|### Bug Report  I'm trying to get a list of policy definitions in a given scope 
#24351|closed|bug, Cosmos, Client, customer-reported, needs-team-attention|[azcosmos] Request context lost in cosmos_global_endpoint_manager_policy.go|### Bug Report  Our RP relies on `azcosmos` from `azure-sdk-for-go` for cosmos D
#24274|closed|bug, Mgmt|armresources.DeploymentsClient Validate always returns "the operation failed or |### Bug Report  The `BeginValidate` function of DeploymentsClient doesn't correc
#24031|closed|bug, KeyVault, Client, customer-reported|KeyVaultChallengePolicy violates guarantees because it is not goroutine-safe|### Bug Report  - import path: `github.com/Azure/azure-sdk-for-go/sdk/keyvault/a
#23851|closed|bug, Client, customer-reported, Azure.Identity|azsecrets v1.3.0 didn't respect home tenant id configured (login-ed) in az cli|### Bug Report  azsecrets v1.3.0 didn't work with `azidentity.NewAzureCLICredent
#23588|closed|bug, customer-reported, Azure.Identity|persistent storage isn't available due to error "The specified item already exis|### Bug Report  <!-- Thank you for opening a bug report. For faster processing, 
#23092|closed|bug, question, Storage, Service Attention, Client|[azqueue] UpdateMessage() does not allow updating message visibility without cha|### Bug Report  UpdateMessage() for Azure Storage Queues does not allow updati
#22544|closed|bug, Client, Azure.Identity|azidentity.validateTenantID returns true for empty tenant id|### Bug Report  <!-- Thank you for opening a bug report. For faster processin
#22281|closed|bug, Storage, Client, Data Lake Storage Gen2, AzDatalake|[AzCopy] Datalake SDK does not path escape path names when passed to NewDirector|### Bug Report  <!-- Thank you for opening a bug report. For faster processin
#22156|closed|bug, Storage, Client, customer-reported, needs-team-attentio|DATA Race when downloading blob item from storage container|### DATA Race when downloading blob item from storage container  - Imported pa
#21887|closed|bug, Storage, CodeGen, Client, AzBlob|[azblob] Blob metadata doesn't load metadata keys with nil values|### Bug Report  **Package and version**: `github.com/Azure/azure-sdk-for-go/sd
#21869|closed|bug, Storage, Client, customer-reported, needs-team-attentio|NilPointer dereference on BlobIndexTag deletion|Hello, in the latest versions removing all BlobIndexTags leads to a Panic due t
#21791|closed|bug, Client, OpenTelemetry|[azotel] The latest otel package is causing a "Component Governance" alert for c|The weird thing is that codespell is a Python module (apparently) and it's only 
#21737|closed|bug, EngSys, Central-EngSys|Release pipelines create tags for modules in subdirectories|The script that creates release tags [calls VerifyPackages](https://github.com/A
#21684|closed|bug, Service Bus, Service Attention, Client|[azservicebus] Closing a session after it has idled out can take 30 seconds.|(We noticed this while troubleshooting a separate issue)  When a link is detac
#21648|closed|bug, Monitor, Client|Update Azure Monitor Ingestion authZ scope|For context, see https://github.com/Azure/azure-sdk-for-net/issues/38998.
#21629|closed|bug, Docs, OpenAI|Bug in OpenAI Sample|### Bug Report  - Import package: `github.com/Azure/azure-sdk-for-go/sdk/ai/az
#21517|closed|bug, Client, App Configuration, blocking-release|azappconfig: Client.UpdateSyncToken makes clients mutable|Method `Client.UpdateSyncToken()` mutates the client.  This is disallowed per SD
#21501|closed|bug, Mgmt, EngSys|Generation script use the wrong autorest core version|In this [CI](https://dev.azure.com/azure-sdk/internal/_build/results?buildId=305
#21380|closed|bug, ARM, Service Attention, Mgmt, customer-reported|Missing `SubscriptionID` value when listing subscription locations|### Bug Report  We expect to see `SubscriptionID` field of [`armsubscription.L
#21346|closed|bug, Client, Azure.Core|Outbound calls timing out with `context deadline exceeded` when TCP connection i|### Bug Report  Opening this for visibility in case other folks are having thi
#21291|closed|bug, customer-reported, Azure.Core, needs-team-attention|Incorrect nextURL link for  armcompute.VirtualMachinesClient with filter of virt|### Bug Report    	"github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/co
#21255|closed|bug, KeyVault, Client|Module /sdk/security/keyvault/internal should be 1.0.0|We have GA'ed versions of the keyvault modules that depend on a prerelease versi
#21106|closed|bug, Client, OpenAI|[azopenai] Model renames|We have a few models that come from OpenAI that don't match our conventions in A
#21053|closed|bug, Client, Azure.Identity|Support Multi Tenant Auth with DAC - Workload Identity|Currently, DAC reads in tenant ID for Workload Identity from env only, it needs 
#21017|closed|bug, Service Bus, Client, customer-reported, needs-team-atte|*azservicebus.Receiver.ReceiveMessages(ctx, 1, nil) might not return messages on|### Bug Report  - import path of package in question: github.com/Azure/azure-s
#20842|closed|bug, Container Registry, Client, customer-reported, needs-au|Container Registry UploadManifest() can not upload Image Manifest to Azure ACR|### Bug Report Can not use ContainerReigistry.Client.UploadManifest to upload i
#20805|closed|bug, Service Attention, Mgmt, customer-reported, needs-team-|NewThreatIntelligenceIndicatorClient.Delete always returns err=nil|### Bug Report  Version: `github.com/Azure/azure-sdk-for-go/sdk/azcore v1.6.0`
#20738|closed|bug, Compute - VM, Service Attention, Mgmt, customer-reporte|ResourceGroup Value in the Virtual Machine "id" filed is in Capital Latter (even|### Bug Report  <!-- Thank you for opening a bug report. For faster processin
#20735|closed|bug, Storage, Client, customer-reported, needs-team-attentio|azblob BlockBlobClient.UploadFile fails with broken connection errors for certai|### Bug Report  <!-- Thank you for opening a bug report. For faster processin
#20718|closed|bug, Storage, Client, customer-reported, needs-team-attentio|NewClientFromConnectionString doesn't support SAS tokens with custom endpoints|### Bug Report  <!-- Thank you for opening a bug report. For faster processin
