Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#43607|closed|bug, Mgmt, customer-reported, needs-team-attention|[BUG] availabilityZones() function for class ApplicationGatewayImpl class throw |**Describe the bug** calling the function: applicationGateway.availabilityZones(
#43593|open|bug, Event Hubs, Client, customer-reported, needs-team-atten|[BUG] The base level `event-hub-name` property should be overridden when sub-lev|**Describe the bug**  When using the `spring-cloud-azure-starter-eventhubs` depe
#43563|closed|bug, customer-reported, azure-spring|[BUG] Problem with compiling Spring Boot KeyVault starters into a native executa|**Describe the bug** When I tried to compile a simple application into a native 
#43451|closed|bug, KeyVault, Client, customer-reported, needs-team-attenti|[BUG] SignResult keyId is missing the version information of the key used|**Describe the bug** In the .NET implementation of the Cryptography client, the 
#43450|closed|bug, Service Bus, Client, customer-reported, needs-team-atte|[BUG] Azure Service Bus: 'Listen' claim(s) are required to perform this operatio|**Describe the bug** We use Spring Cloud Stream binder for Azure Service Bus.  `
#43345|closed|bug, customer-reported, azure-spring, azure-spring-servicebu|[BUG] Spring Boot application sometimes does not shutdown after closing client a|**Describe the bug** Occasionally the Service Bus connection is preventing a Spr
#43222|closed|bug, Client, customer-reported, needs-team-attention, azure-|[BUG] Spring Cloud Azure keyvault secrets does not use configured connect-timeou|**Describe the bug** When using spring.cloud.azure.keyvault.secret a connect-tim
#43147|closed|bug, Client, customer-reported, azure-spring|[BUG] springTokenCredentialProviderContextProvider bean is missing from the cont|**Describe the bug** `springTokenCredentialProviderContextProvider` bean is miss
#43146|open|bug, Client, Azure.Core, customer-reported, needs-team-atten|[BUG] azure-core/native-image.properties has too many entries with wide implicat|https://github.com/Azure/azure-sdk-for-java/blob/main/sdk/core/azure-core/src/ma
#43106|closed|bug, customer-reported, needs-team-attention, azure-spring, |[BUG] Azure servicebus has a NoSuchMethodException after native compile|**Describe the bug** I do have an application connecting itself to the azure ser
#43095|closed|bug, Search, Client, customer-reported, needs-team-attention|[BUG] Incorrect behavior for SearchAsyncClient.search() with multiple subscriber|**Describe the bug** The `SearchAsyncClient.search()` method has a bug where the
#43029|closed|bug, ARM, Billing, Service Attention, Mgmt|[BUG] Unsupported DateTime format "6/1/2023 12:00:00 AM +00:00"|**Describe the bug** azure-resourcemanager-billing 1.0.0 throws exception on bil
#42905|closed|bug, Client, Azure.Core, customer-reported, needs-team-atten|[BUG] Recursive update exception in HttpLogOptions initialization with security |**Describe the bug** `java.lang.IllegalStateException: Recursive update` excepti
#42882|closed|bug, Client, customer-reported, needs-team-attention, OpenAI|[BUG] openai ChatRequestUserMessage deserialization loses internal state|**Describe the bug** ChatRequestUserMessage loses its internal state during dese
#42861|open|bug, customer-reported, needs-team-attention, OpenTelemetry,|com.azure...util..DefaultTracerProvider looks for default tracer agents in case |### Type of issue  Other (describe below)  ### Description    Issue: At the time
#42847|closed|bug, Storage, Client, customer-reported, needs-author-feedba|[BUG] Blob API compatibility for OneLake - exception thrown on successful `delet|**Describe the bug**  Per OneLake description [link](https://blog.fabric.microso
#42712|closed|bug, Client, customer-reported, needs-team-attention, azure-|[BUG] com.azure.spring.cloud.stream.binder.servicebus.ServiceBusHealthIndicator |**Describe the bug** When Azure ServiceBus is not accessible the com.azure.sprin
#42699|open|bug, Graph, Client, customer-reported, needs-team-attention|[BUG] Application never end when trying to connect to sharepoint via client secr|Hi, I am trying to connect to Sharepoint via graph api and trying to connect to 
#42521|closed|bug, OpenTelemetry|[FEATURE REQ] Support OpenTelemetry sampling on `az.namespace` attribute|Currently, the `az.namespace` is set after span start, and so it can't be used f
#42174|open|bug, Client, OpenTelemetry, Monitor - Autoconfigure|Azure Monitor Exporter: log exporter produces unparseable message content for co|Sample code:   ```java var azmon = new AzureMonitorExporterBuilder()        
#42094|closed|bug, customer-reported, OpenAI|[BUG] Azure OpenAI content filter prompt shield (jailbreak protection) stopped w|**Describe the bug** After upgrading to version 1.0.0-beta.9, we observed that 
#42040|closed|bug, Client, customer-reported, needs-team-attention, azure-|[BUG] two listener outages on record, no root cause discovered|**Describe the bug** A process listening to a topic stops receiving messages.  
#41929|open|bug, customer-reported, needs-team-attention, OpenTelemetry|[BUG] io.netty.channel.ConnectTimeoutException after one minute of running|**Describe the bug** An error message in the log output.  ***Exception or Sta
#41883|open|bug, Service Bus, Client, customer-reported, needs-team-atte|[BUG] DLQ reason and description not working in spring-cloud-azure-stream-binder|**Describe the bug** This is an addendum to [this](https://github.com/Azure/azu
#41867|closed|bug, Client, customer-reported, Service, needs-author-feedba|Document Intelligence exception when using Prebuilt tax document model tax.us.10|When calling the prebuilt model tax.us.1099COMBO.2023 for consolidated tax state
#41832|closed|bug, customer-reported, needs-team-attention, azure-spring-j|[BUG] jarsigner + jca reports that entries in certificate chain are invalid|### Describe the bug When using a valid, DigiCert issued, non-exportable Azure 
#41669|open|bug, Mgmt, customer-reported, needs-team-attention|[BUG] RoleAssignment not working with Java but works through AZ CLI|**Describe the bug** I'm trying to assign role to Managed Identity with precise
#41636|open|bug, Client, customer-reported, needs-team-attention, azure-|[BUG] "This method can be called if AMQP Message body type is 'VALUE'. The actua|**Describe the bug** An error is logged when sending a message to a topic when 
#41606|closed|bug, ARM, Mgmt, customer-reported, needs-author-feedback|[BUG] com.azure.resourcemanager.mysqlflexibleserver.models.Server object always |**Describe the bug** MySQL Flexible server objects returned by `com.azure.resou
#41535|closed|bug, Event Hubs, Client, customer-reported, pillar-reliabili|[BUG] EventProcessorClient sometimes stops reading in low traffic environments|**Describe the bug** In our low traffic environments (~40 messages per second o
#41512|closed|bug, Storage, Client, customer-reported, needs-team-attentio|[BUG] invalid wasb credentials taking 13-14 minutes to execute|**Describe the bug** invalid wasb credentials taking 13-14 minutes to execute. 
#41411|closed|bug, Client, needs-team-triage, test-manual-pass, Load Testi|Fix azure-developer-loadtesting sdk sample|1.  **Section** [link](https://github.com/Azure/azure-sdk-for-java/blob/main/s
#41358|open|bug, customer-reported, needs-team-attention, Maps|[QUERY] getMapStaticImage is sending back blank images with just the copyright d|**Query/Question**  `// Get Map Static Image GeoBoundingBox bbox = new GeoBou
#41350|open|bug, Service Attention, Client, customer-reported, needs-tea|[BUG] ACS Chat SDK on android failing with Teams Users|Hi, We are facing the same issue opened here, wanted to know if there is any wor
#41269|closed|bug, Azure.Core|[FEATURE REQ] com.azure.json.JsonWriter.writeMapField write null value to the Ma|Here is an example of auto-generated `toJson` method in one of our data models b
#41243|closed|bug, Azure.Core, customer-reported, needs-team-attention|[BUG] `XmlMapperFactory` does not work with `ReflectionUtilsClassic`|**Describe the bug**  `com.azure.core.implementation.jackson.XmlMapperFactory#
#41175|closed|bug, Client, customer-reported, needs-team-attention, azure-|[BUG] Feature Management no longer working in 5.14.0|**Describe the bug** After updating `com.azure.spring:spring-cloud-azure-appcon
#41159|closed|question, bug, customer-reported, needs-author-feedback, Ope|[BUG] azure-json throws an illegal state exception when running the GetEmbedding|**Describe the bug** I ran the following sample code locally (azure-open-ai:1.0
#41091|closed|bug, Monitor, Client, customer-reported, issue-addressed|[BUG] LogsIngestionClient does not use its ThreadPool for processing|**Describe the bug** I was looking at the source code of the `LogsIngestionClie
#41072|closed|bug, Cosmos, Service Attention, Client, customer-reported|[BUG] CosmosDiagnosticContext producing fatal error related to startOperation be|**Describe the bug** After upgrading the spring-cloud-azure-starter-data-cosmos
#40951|closed|bug, customer-reported, needs-team-attention, azure-spring, |[BUG] DLQ reason and description not work in spring-cloud-azure-stream-binder-se|**Is your feature request related to a problem? Please describe.** When using s
#40837|open|bug, Cosmos, customer-reported, needs-team-attention|[BUG]azure-cosmos-spark is not able to read array type field as string|**Describe the bug** In a cosmos container, a field can have different structur
#40803|open|bug, Client, customer-reported, Communication|[BUG] Azure Communication Service Job Router Java SDK having Deserialize Issue f|**Describe the bug** Hi, I am using Azure Communicaton Service Job Router Java 
#40786|open|bug, Cosmos, Service Attention, Client, customer-reported|[BUG] Cosmos hangs forever with CosmosEndToEndOperationLatencyPolicyConfig set|**Describe the bug** Certain operations cause the Cosmos SDK to hang forever an
#40759|open|bug, Batch, customer-reported, Docs, Service|Typo "a Azure"→"an Azure"|### Type of issue  Typo  ### Description  https://learn.microsoft.com/en-us/java
#40616|closed|bug, Client, customer-reported, needs-team-attention, azure-|Keyvault JCA's AccessTokenUtil does not urlencode its parameters when getting an|**Describe the bug** In our app, we get `NullPointerException` when first acces
#40508|open|bug, Client, customer-reported, Azure.Identity, needs-team-a|UUF - azure-dev-docs-pr - Troubleshoot multi-tenant authentication|Customer feedback from Unified User Feedback (UUF) tool:  Repo: azure-dev-doc
#40442|closed|bug, customer-reported, Tables|[BUG] When using Azurite and the connection string is incorrect, TableAsyncClien|**Describe the bug** TableAsyncClient operation does not finish under the follo
#40302|closed|bug, ARM, Mgmt, customer-reported, needs-author-feedback|[BUG] Unable to list Virtual Networks in an Subscription|**Describe the bug** We are trying to list all the virtual networks for a subsc
#40182|open|bug, Event Hubs, Client|Using consumer group authentication fails|See: https://github.com/Azure/azure-sdk-for-python/issues/35337  > When connec
